ID,Name,Gender,Department,Age,Salary,Bonus,Location
1,Olga,F,HR,58.0,51777.0,,Berlin
2,Yvonne,F,Marketing,33.0,,,
3,Klara,F,Finance,,53483.0,,
4,Farid,M,Marketing,54.0,44541.0,3152.0,
5,Tarek,M,Finance,59.0,53939.0,19457.0,
6,Ronja,F,Finance,23.0,70757.0,,Hamburg
7,Petra,F,Finance,53.0,67065.0,995.0,Leipzig
8,Jonas,M,IT,34.0,59127.0,,
9,Bernd,M,HR,59.0,54276.0,,Frankfurt
10,Walter,M,Marketing,,51243.0,,Köln
11,Lukas,M,HR,60.0,68044.0,,Frankfurt
12,Nico,M,HR,44.0,70774.0,,Berlin
13,Carla,F,Marketing,27.0,,,
14,Anna,F,HR,27.0,43986.0,,Frankfurt
15,Isabel,F,Finance,58.0,,,Berlin
16,Hannes,,Marketing,31.0,78033.0,19488.0,Leipzig
17,Gina,F,Marketing,56.0,60818.0,19115.0,
18,Xenia,F,IT,54.0,35056.0,,Leipzig
19,Urs,,IT,20.0,47412.0,,Leipzig
20,Daniel,M,IT,46.0,30206.0,17868.0,
