Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Cost Each
176560,Google Phone,1.0,600.0,04/12/19 14:38,"669 Spruce St, Los Angeles, CA 90001",450
176565,Macbook Pro Laptop,1.0,1700.0,04/24/19 10:38,"915 Willow St, San Francisco, CA 94016",1275
176567,Google Phone,1.0,600.0,04/18/19 17:18,"444 7th St, Los Angeles, CA 90001",450
176574,Google Phone,1.0,600.0,04/03/19 19:42,"20 Hill St, Los Angeles, CA 90001",450
176581,iPhone,1.0,700.0,04/09/19 21:38,"84 Jackson St, Boston, MA 02215",525
176586,Google Phone,1.0,600.0,04/10/19 17:00,"365 Center St, San Francisco, CA 94016",450
176590,Google Phone,1.0,600.0,04/11/19 11:46,"873 6th St, New York City, NY 10001",450
176606,LG Dryer,1.0,600.0,04/21/19 14:16,"487 Maple St, San Francisco, CA 94016",600
176608,iPhone,1.0,700.0,04/11/19 12:01,"15 Cherry St, San Francisco, CA 94016",525
176630,Google Phone,1.0,600.0,04/10/19 05:01,"770 Maple St, San Francisco, CA 94016",450
176633,ThinkPad Laptop,1.0,999.99,04/23/19 14:03,"863 Hickory St, Los Angeles, CA 90001",750
176639,Macbook Pro Laptop,1.0,1700.0,04/28/19 16:14,"853 Cedar St, San Francisco, CA 94016",1275
176643,Macbook Pro Laptop,1.0,1700.0,04/27/19 21:32,"373 Adams St, Boston, MA 02215",1275
176646,Macbook Pro Laptop,1.0,1700.0,04/22/19 07:14,"657 Adams St, Portland, OR 97035",1275
176647,Google Phone,1.0,600.0,04/21/19 19:40,"273 South St, Los Angeles, CA 90001",450
176651,iPhone,1.0,700.0,04/07/19 13:14,"997 South St, Boston, MA 02215",525
176652,LG Washing Machine,1.0,600.0,04/09/19 20:04,"502 14th St, New York City, NY 10001",600
176656,Google Phone,1.0,600.0,04/12/19 16:42,"12 Lakeview St, New York City, NY 10001",450
176657,ThinkPad Laptop,1.0,999.99,04/23/19 10:16,"774 Forest St, Los Angeles, CA 90001",750
176665,ThinkPad Laptop,1.0,999.99,04/07/19 14:15,"927 13th St, Dallas, TX 75001",750
176676,LG Dryer,1.0,600.0,04/09/19 00:35,"788 Lincoln St, Los Angeles, CA 90001",600
176681,ThinkPad Laptop,1.0,999.99,04/20/19 10:39,"331 Cherry St, Seattle, WA 98101",750
176687,Macbook Pro Laptop,1.0,1700.0,04/30/19 10:26,"121 Wilson St, Los Angeles, CA 90001",1275
176696,iPhone,1.0,700.0,04/07/19 12:41,"343 Johnson St, New York City, NY 10001",525
176712,Google Phone,1.0,600.0,04/20/19 05:21,"910 Washington St, San Francisco, CA 94016",450
176732,iPhone,1.0,700.0,04/23/19 09:33,"504 Wilson St, Dallas, TX 75001",525
176739,Google Phone,1.0,600.0,04/05/19 17:38,"730 6th St, Austin, TX 73301",450
176747,Macbook Pro Laptop,1.0,1700.0,04/27/19 15:04,"645 7th St, San Francisco, CA 94016",1275
176749,ThinkPad Laptop,1.0,999.99,04/26/19 07:55,"322 Adams St, Seattle, WA 98101",750
176781,iPhone,1.0,700.0,04/03/19 07:37,"976 Hickory St, Dallas, TX 75001",525
176787,Google Phone,1.0,600.0,04/14/19 10:10,"180 Pine St, Los Angeles, CA 90001",450
176791,Google Phone,1.0,600.0,04/21/19 11:43,"908 Jackson St, Los Angeles, CA 90001",450
176797,Google Phone,1.0,600.0,04/21/19 08:54,"923 Elm St, Los Angeles, CA 90001",450
176798,iPhone,1.0,700.0,04/06/19 10:31,"445 Jefferson St, Atlanta, GA 30301",525
